customer_id,cashier_id,type,time,day,price,payment_type
CUST000001,4,Home Kitchen,08 42,Friday,2836.35,CARD
CUST000002,5,Food,09 57,Wednesday,763.23,CARD
CUST000003,1,Food,03 34,Thursday,609.53,UPI
CUST000004,6,Fashion,02 24,Saturday,4444.54,CARD
CUST000005,1,Beauty Personal Care,18 51,Thursday,2122.18,CASH
CUST000006,6,Books Stationery,03 15,Tuesday,857.32,CARD
CUST000007,6,Electronics,17 43,Wednesday,15355.83,UPI
CUST000008,5,Sports Fitness,07 30,Saturday,14036.70,CARD
CUST000009,3,Home Kitchen,08 57,Saturday,3714.22,CASH
CUST000010,4,Home Kitchen,08 21,Saturday,5951.17,CARD
CUST000011,5,Electronics,19 06,Monday,17640.46,CARD
CUST000012,5,Beauty Personal Care,05 10,Sunday,2238.65,UPI
CUST000013,3,Books Stationery,19 52,Monday,1537.18,UPI
CUST000014,1,Beauty Personal Care,17 40,Thursday,448.21,CARD
CUST000015,5,Home Kitchen,03 24,Tuesday,2006.15,CASH
CUST000016,1,Food,20 08,Tuesday,779.16,CASH
CUST000017,3,Home Kitchen,05 27,Saturday,3182.98,UPI
CUST000018,6,Healthcare,13 04,Saturday,1688.02,CARD
CUST000019,3,Food,06 56,Saturday,362.94,CASH
CUST000020,6,Books Stationery,01 23,Thursday,463.23,UPI
CUST000021,1,Sports Fitness,19 17,Friday,11174.73,CASH
CUST000022,1,Food,11 34,Thursday,141.85,UPI
CUST000023,3,Home Kitchen,01 54,Friday,5586.20,CASH
CUST000024,4,Grocery,21 44,Thursday,1901.88,CASH
CUST000025,2,Fashion,23 28,Sunday,1661.06,CARD
CUST000026,1,Books Stationery,01 05,Sunday,544.90,CASH
CUST000027,3,Toys Games,15 43,Tuesday,3734.17,CARD
CUST000028,1,Toys Games,01 56,Friday,2832.29,UPI
CUST000029,3,Electronics,15 18,Friday,7605.20,CARD
CUST000030,6,Books Stationery,07 58,Monday,1213.28,UPI
CUST000031,2,Books Stationery,09 11,Sunday,1182.60,UPI
CUST000032,6,Healthcare,08 34,Tuesday,464.27,UPI
CUST000033,3,Beauty Personal Care,16 46,Tuesday,416.24,UPI
CUST000034,2,Food,09 41,Tuesday,612.30,CARD
CUST000035,1,Sports Fitness,15 41,Thursday,11637.04,CARD
CUST000036,4,Toys Games,04 46,Saturday,4982.85,CASH
CUST000037,3,Food,02 15,Friday,131.15,CARD
CUST000038,3,Beauty Personal Care,23 05,Friday,1866.55,UPI
CUST000039,4,Beauty Personal Care,15 10,Friday,2778.63,CARD
CUST000040,2,Food,20 30,Sunday,437.84,CASH
CUST000041,3,Fashion,16 14,Friday,4488.92,CASH
CUST000042,1,Healthcare,18 45,Wednesday,4955.57,CARD
