customer_id,cashier_id,type,time,day,price,payment_type
CUST000001,4,Books Stationery,04 07,Friday,1720.99,UPI
CUST000002,6,Sports Fitness,01 00,Wednesday,7867.36,UPI
CUST000003,2,Healthcare,05 22,Sunday,4789.20,CASH
CUST000004,1,Healthcare,07 42,Wednesday,712.77,CARD
CUST000005,6,Beauty Personal Care,18 52,Thursday,1051.63,CASH
CUST000006,2,Beauty Personal Care,07 50,Friday,1230.07,UPI
CUST000007,2,Home Kitchen,04 44,Monday,4665.83,CASH
CUST000008,2,Electronics,18 59,Thursday,27177.09,UPI
CUST000009,2,Toys Games,11 26,Monday,1684.81,CASH
CUST000010,6,Electronics,20 19,Thursday,15479.73,CARD
CUST000011,3,Sports Fitness,00 09,Thursday,1179.90,CASH
CUST000012,3,Sports Fitness,08 59,Tuesday,5094.28,UPI
CUST000013,6,Sports Fitness,15 49,Friday,11803.26,CASH
CUST000014,1,Home Kitchen,05 18,Friday,7885.29,UPI
CUST000015,2,Sports Fitness,19 57,Thursday,13001.83,CASH
CUST000016,3,Home Kitchen,16 58,Wednesday,2143.22,UPI
CUST000017,6,Fashion,14 33,Sunday,3417.26,CASH
CUST000018,2,Home Kitchen,15 45,Monday,6135.38,UPI
CUST000019,6,Books Stationery,04 57,Wednesday,335.04,UPI
CUST000020,2,Home Kitchen,09 02,Saturday,5187.94,CASH
CUST000021,4,Grocery,16 40,Thursday,317.44,CASH
CUST000022,5,Books Stationery,07 08,Wednesday,1096.54,CASH
CUST000023,6,Toys Games,07 57,Friday,701.28,CARD
CUST000024,1,Toys Games,16 32,Tuesday,4506.02,CASH
CUST000025,1,Books Stationery,16 52,Tuesday,1669.18,CARD
CUST000026,1,Beauty Personal Care,15 26,Monday,1753.01,CASH
CUST000027,2,Home Kitchen,20 59,Saturday,9559.08,CARD
CUST000028,2,Books Stationery,13 50,Thursday,1883.97,CASH
CUST000029,3,Home Kitchen,23 49,Friday,5459.40,CARD
CUST000030,4,Electronics,04 05,Friday,6934.76,UPI
CUST000031,3,Grocery,09 19,Wednesday,2987.93,CASH
CUST000032,3,Fashion,13 23,Monday,3480.61,CASH
CUST000033,6,Books Stationery,12 37,Sunday,1198.77,CASH
CUST000034,5,Healthcare,21 48,Wednesday,4283.52,CASH
CUST000035,3,Food,04 12,Tuesday,167.90,CARD
CUST000036,2,Electronics,12 34,Sunday,46756.32,CASH
CUST000037,2,Food,02 24,Sunday,566.76,CASH
CUST000038,2,Books Stationery,06 05,Thursday,1066.09,UPI
CUST000039,1,Toys Games,03 18,Thursday,2463.21,CARD
CUST000040,3,Sports Fitness,03 26,Thursday,10155.71,UPI
CUST000041,5,Beauty Personal Care,00 31,Thursday,1267.35,CARD
CUST000042,3,Healthcare,09 16,Wednesday,3276.37,CARD
CUST000043,2,Beauty Personal Care,07 54,Saturday,2160.95,UPI
CUST000044,3,Food,20 32,Tuesday,230.11,UPI
CUST000045,5,Beauty Personal Care,22 50,Wednesday,2791.84,UPI
CUST000046,5,Beauty Personal Care,23 41,Monday,255.91,CARD
CUST000047,6,Sports Fitness,19 31,Tuesday,8572.73,CASH
CUST000048,4,Toys Games,06 25,Friday,1699.84,UPI
CUST000049,2,Healthcare,18 10,Thursday,2370.77,UPI
CUST000050,3,Toys Games,19 30,Monday,1694.97,CARD
CUST000051,2,Home Kitchen,00 04,Wednesday,1254.67,CASH
CUST000052,3,Toys Games,09 39,Monday,4964.71,UPI
CUST000053,3,Healthcare,06 14,Monday,3535.95,CASH
CUST000054,4,Food,12 23,Friday,135.25,UPI
CUST000055,6,Fashion,07 28,Friday,2098.85,UPI
CUST000056,4,Beauty Personal Care,14 47,Tuesday,788.05,CASH
CUST000057,1,Food,08 40,Thursday,771.55,CARD
CUST000058,5,Healthcare,06 26,Sunday,1196.32,CARD
CUST000059,2,Food,16 02,Monday,349.58,UPI
CUST000060,6,Beauty Personal Care,03 18,Tuesday,1482.70,UPI
CUST000061,4,Home Kitchen,16 55,Friday,8588.37,UPI
CUST000062,6,Sports Fitness,19 36,Saturday,8405.49,UPI
CUST000063,5,Sports Fitness,15 27,Tuesday,6216.07,CASH
CUST000064,4,Toys Games,05 39,Sunday,4238.34,UPI
CUST000065,3,Food,19 11,Thursday,355.91,CARD
CUST000066,6,Books Stationery,21 26,Tuesday,1263.43,CASH
CUST000067,6,Books Stationery,20 29,Wednesday,137.37,CASH
CUST000068,2,Beauty Personal Care,01 11,Sunday,1341.44,CASH
CUST000069,1,Home Kitchen,03 00,Sunday,9524.71,UPI
CUST000070,4,Grocery,10 41,Thursday,557.72,CARD
CUST000071,6,Beauty Personal Care,10 23,Tuesday,2024.13,CASH
CUST000072,3,Food,21 09,Sunday,609.58,CASH
CUST000073,4,Food,20 18,Tuesday,136.40,CARD
CUST000074,6,Food,22 21,Tuesday,654.96,UPI
CUST000075,6,Healthcare,20 13,Monday,3683.14,CASH
CUST000076,2,Toys Games,03 54,Thursday,2976.09,CASH
CUST000077,1,Books Stationery,21 44,Friday,196.11,CARD
CUST000078,6,Fashion,13 51,Saturday,711.70,CASH
CUST000079,2,Grocery,00 40,Wednesday,2029.42,UPI
CUST000080,5,Beauty Personal Care,16 56,Wednesday,1914.52,CARD
CUST000081,2,Grocery,22 08,Monday,183.13,CARD
CUST000082,4,Sports Fitness,00 22,Tuesday,1792.95,UPI
CUST000083,4,Beauty Personal Care,02 43,Sunday,2171.43,CARD
CUST000084,6,Home Kitchen,17 29,Wednesday,436.99,CASH
CUST000085,2,Home Kitchen,13 03,Monday,3679.11,UPI
CUST000086,4,Fashion,07 24,Tuesday,3503.45,CASH
CUST000087,5,Beauty Personal Care,10 51,Tuesday,2537.60,CARD
CUST000088,2,Home Kitchen,20 42,Tuesday,3983.82,UPI
CUST000089,1,Fashion,13 51,Sunday,4258.35,UPI
CUST000090,1,Beauty Personal Care,02 00,Friday,2043.75,CASH
CUST000091,6,Electronics,01 57,Tuesday,30734.04,UPI
CUST000092,5,Food,03 57,Saturday,472.41,CARD
CUST000093,6,Sports Fitness,08 06,Monday,7882.77,UPI
CUST000094,1,Fashion,20 56,Saturday,2438.15,CARD
CUST000095,2,Toys Games,03 25,Tuesday,3486.74,CARD
CUST000096,4,Sports Fitness,01 30,Saturday,6778.40,CASH
CUST000097,2,Sports Fitness,22 41,Tuesday,10932.04,CARD
CUST000098,3,Home Kitchen,23 27,Sunday,7728.31,CARD
CUST000099,1,Fashion,22 37,Friday,1815.60,CARD
CUST000100,3,Electronics,03 47,Sunday,42242.81,UPI
CUST000101,1,Grocery,02 21,Thursday,1886.57,UPI
CUST000102,6,Grocery,14 50,Thursday,2263.00,CASH
CUST000103,3,Books Stationery,14 36,Saturday,1497.86,UPI
CUST000104,2,Fashion,20 28,Saturday,2830.90,UPI
CUST000105,6,Books Stationery,11 23,Wednesday,239.75,UPI
CUST000106,6,Toys Games,02 41,Saturday,2376.30,CARD
CUST000107,3,Fashion,16 48,Sunday,897.82,UPI
CUST000108,3,Beauty Personal Care,07 53,Saturday,2955.92,CASH
CUST000109,6,Fashion,05 11,Monday,4696.06,CARD
